Number of Nodes:,45
Number of Groups:,5
sno,x,y,nodHead,state,pow
0,238,65,9,0,100
1,551,255,44,0,100
2,169,445,2,0,100
3,302,437,2,0,100
4,155,255,33,0,100
5,74,374,2,0,100
6,151,250,33,0,100
7,567,109,44,0,100
8,482,168,44,0,100
9,327,60,9,0,100
10,98,23,33,0,100
11,761,346,43,0,100
12,522,93,44,0,100
13,315,235,9,0,100
14,641,100,44,0,100
15,576,309,43,0,100
16,163,346,2,0,100
17,111,433,2,0,100
18,650,574,43,0,100
19,86,46,33,0,100
20,723,274,43,0,100
21,585,273,44,0,100
22,737,514,43,0,100
23,448,93,44,0,100
24,553,57,44,0,100
25,199,418,2,0,100
26,356,584,2,0,100
27,577,426,43,0,100
28,154,489,2,0,100
29,190,441,2,0,100
30,609,538,43,0,100
31,187,102,33,0,100
32,266,429,2,0,100
33,108,180,33,0,100
34,15,123,33,0,100
35,377,116,9,0,100
36,732,471,43,0,100
37,230,188,9,0,100
38,17,448,2,0,100
39,473,146,44,0,100
40,160,540,2,0,100
41,559,297,43,0,100
42,501,366,43,0,100
43,590,419,43,0,100
44,530,131,44,0,100
